decade,genres,count
1950s,harlem renaissance,436
1950s,opera,433
1950s,bolero,390
1950s,classic kollywood,370
1950s,bossa nova,367
1950s,chutney,365
1950s,classical era,364
1950s,blues,363
1950s,space age pop,345
1950s,traditional blues,344
1950s,classical soprano,332
1950s,doo-wop,332
1950s,mambo,332
1950s,musica tradicional cubana,324
1950s,salsa,323
1950s,austrian orchestra,293
1950s,late romantic era,293
1950s,free jazz,288
1950s,american folk revival,286
1950s,velha guarda,280
1950s,classical tenor,267
1950s,jazz funk,267
1950s,early music,264
1950s,tropical,259
1950s,baroque,250
1950s,contemporary post-bop,239
1950s,german baroque,236
1950s,rabindra sangeet,236
1950s,folk,233
1950s,avant-garde jazz,230
1950s,german romanticism,230
1950s,early romantic era,228
1950s,italian romanticism,226
1950s,samba,226
1950s,rebetiko,224
1950s,folk rock,223
1950s,italian opera,222
1950s,cumbia,217
1950s,traditional folk,215
1950s,blues rock,212
1950s,post-romantic era,212
1950s,classic rock,206
1950s,jazz quartet,203
1950s,jazz guitar,197
1950s,electric blues,196
1950s,vocal harmony group,191
1950s,italian orchestra,187
1950s,jazz drums,186
1950s,appalachian folk,185
1950s,hoerspiel,184
1950s,rhythm and blues,181
1950s,ranchera,178
1950s,classical bass,177
1950s,classic soundtrack,173
1950s,vintage hollywood,165
1950s,movie tunes,159
1950s,new orleans jazz,157
1950s,choro,154
1950s,mpb,153
1950s,arkansas country,144
1950s,calypso,144
1950s,jazz trio,143
1950s,samba-jazz,142
1950s,italian tenor,141
1950s,dixieland,140
1950s,classic arab pop,134
1950s,turkish jazz,132
1950s,mellow gold,128
1950s,soul blues,124
1950s,opera chorus,123
1950s,early modern classical,121
1950s,old-time,120
1950s,nueva cancion,116
1950s,modern bollywood,115
1950s,german literature,113
1950s,violin,113
1950s,funk,111
1950s,bubblegum pop,110
1950s,laboratorio,107
1950s,classical baritone,106
1950s,jazz trombone,104
1950s,outlaw country,102
1950s,traditional country,102
1950s,library music,101
1950s,mariachi,100
1950s,indian classical,99
1950s,cha-cha-cha,98
1950s,classic colombian pop,98
1950s,turkish folk,98
1950s,german orchestra,95
1950s,neoclassicism,94
1950s,ballroom,93
1950s,tamil pop,93
1950s,arab folk,92
1950s,deep adult standards,92
1950s,bolero mexicano,91
1950s,forro,90
1950s,jazz double bass,87
1950s,italian baritone,86
1950s,italian bass,86
1950s,bolero cubano,85
1950s,british orchestra,84
1950s,banjo,82
1950s,classic israeli pop,82
1950s,hollywood,82
1950s,chicago blues,81
1950s,jump blues,80
1950s,pinoy traditional,79
1950s,classic soul,77
1950s,shanty,77
1950s,italian soprano,76
1950s,classical organ,73
1950s,poetry,73
1950s,chanson,71
1950s,jazz brass,70
1950s,acoustic blues,69
1950s,barockinterpreten,69
1950s,baroque ensemble,69
1950s,cowboy western,69
1950s,historic piano performance,68
1950s,irish folk,68
1950s,piano blues,68
1950s,spanish classical,68
1950s,western swing,68
1950s,jazz vibraphone,67
1950s,experimental,66
1950s,bangla,65
1950s,classic girl group,65
1950s,vintage jazz,64
1950s,vintage tango,64
1950s,jazz chileno,63
1950s,jazz clarinet,63
1950s,spirituals,61
1950s,contemporary vocal jazz,60
1950s,british modern classical,58
1950s,classical contralto,58
1950s,disney,58
1950s,free improvisation,58
1950s,charanga,57
1950s,pop romantico,57
1950s,laiko,56
1950s,comic,55
1950s,contemporary jazz,55
1950s,german opera,55
1950s,impressionism,55
1950s,french romanticism,54
1950s,cuban rumba,53
1950s,gospel blues,53
1950s,honky tonk,53
1950s,violao,53
1950s,bouzouki,51
1950s,latin,51
1950s,son cubano clasico,51
1950s,african-american classical,50
1950s,greek indie,50
1950s,nova mpb,50
1950s,samba de roda,50
1950s,southern soul,50
1950s,marathi traditional,49
1950s,carnatic,48
1950s,carnatic vocal,48
1950s,celtic,48
1950s,classical piano,48
1950s,french pop,48
1950s,gypsy jazz,48
1950s,russian romanticism,48
1950s,yodeling,48
1950s,chamame,47
1950s,folklore argentino,47
1950s,german choir,47
1950s,country rock,46
1950s,french jazz,46
1950s,swedish jazz,46
1950s,brazilian jazz,45
1950s,classical mezzo-soprano,45
1950s,new orleans blues,45
1950s,avant-garde,44
1950s,nashville sound,44
1950s,operetta,44
1950s,country gospel,43
1950s,modern swing,43
1950s,motown,43
1950s,baiao,42
1950s,tango,42
1950s,french orchestra,41
1950s,memphis blues,41
1950s,rock,41
1950s,bluegrass gospel,40
1950s,country blues,40
1950s,forro tradicional,40
1950s,english baroque,39
1950s,guitarra argentina,39
1950s,american modern classical,38
1950s,classical clarinet,38
1950s,folclore salteno,38
1950s,haitian traditional,38
1950s,jazz cubano,38
1950s,louisiana blues,38
1950s,quiet storm,38
1950s,vintage swedish pop,38
1950s,disco,37
1950s,fado,36
1950s,harmonica blues,36
1950s,latin classical,36
1950s,piedmont blues,36
1950s,turkish classical,36
1950s,classic swedish pop,35
1950s,french opera,35
1950s,greek pop,35
1950s,hindustani vocal,35
1950s,art rock,34
1950s,brazilian classical,34
1950s,choral,34
1950s,puerto rican folk,34
1950s,broadway,33
1950s,austrian choir,32
1950s,c-pop,32
1950s,delta blues,32
1950s,mento,32
1950s,vintage chinese pop,32
1950s,bluegrass,31
1950s,canzone napoletana,31
1950s,classic italian pop,31
1950s,hammond organ,31
1950s,salsa international,31
1950s,american orchestra,30
1950s,flamenco,30
1950s,folklore chileno,30
1950s,jazz organ,30
1950s,romanian classical piano,30
1950s,soft rock,30
1950s,classic greek pop,29
1950s,classic polish pop,29
1950s,contemporary classical piano,29
1950s,country boogie,29
1950s,czech classical,29
1950s,jazz violin,29
1950s,salsa puertorriquena,29
1950s,soundtrack,29
1950s,surf music,29
1950s,contemporary classical,28
1950s,copla,28
1950s,merseybeat,28
1950s,rumba,28
1950s,belly dance,27
1950s,french rock,27
1950s,hindustani classical,26
1950s,japanese jazz,26
1950s,orquesta tipica,26
1950s,swiss classical piano,26
1950s,art song,25
1950s,british folk,25
1950s,irish pub song,25
1950s,kleine hoerspiel,25
1950s,yoik,25
1950s,electric bass,24
1950s,german classical piano,24
1950s,keroncong,24
1950s,pagode,24
1950s,tango cancion,24
1950s,tin pan alley,24
1950s,jovem guarda,23
1950s,prepared piano,23
1950s,show tunes,23
1950s,smooth jazz,23
1950s,traditional british folk,23
1950s,gregorian chant,22
1950s,italian mezzo-soprano,22
1950s,italian violin,22
1950s,light music,22
1950s,sunshine pop,22
1950s,vintage italian pop,22
1950s,welsh folk,22
1950s,historically informed performance,21
1950s,turkish pop,21
1950s,visor,21
1950s,afrofuturism,20
1950s,american contemporary classical,20
1950s,boogie-woogie,20
1950s,folkmusik,20
1950s,spiritual jazz,20
1950s,american classical piano,19
1950s,chamber choir,19
1950s,french classical piano,19
1950s,neo-rockabilly,19
1950s,russian modern classical,19
1950s,tamil devotional,19
1950s,classical cello,18
1950s,country,18
1950s,piano rock,18
1950s,swamp rock,18
1950s,vintage dutch pop,18
1950s,german jazz,17
1950s,polish classical,17
1950s,victorian britain,17
1950s,accordion,16
1950s,compositional ambient,16
1950s,detskie rasskazy,16
1950s,flamenco guitar,16
1950s,french soundtrack,16
1950s,oklahoma country,16
1950s,reading,16
1950s,brazilian indie,15
1950s,brazilian percussion,15
1950s,coco,15
1950s,dutch folk,15
1950s,early avant garde,15
1950s,hungarian classical performance,15
1950s,irish classical,15
1950s,memphis soul,15
1950s,outsider,15
1950s,theme,15
1950s,bow pop,14
1950s,classic peruvian pop,14
1950s,italian baroque,14
1950s,peruvian rock,14
1950s,beat poetry,13
1950s,carnatic instrumental,13
1950s,mountain dulcimer,13
1950s,norwegian contemporary jazz,13
1950s,swing italiano,13
1950s,uilleann pipes,13
1950s,brega,12
1950s,british choir,12
1950s,cambridge choir,12
1950s,ecm-style jazz,12
1950s,irish ballad,12
1950s,jazz flute,12
1950s,kundiman,12
1950s,mexican rock-and-roll,12
1950s,mexican traditional,12
1950s,norwegian jazz,12
1950s,trio huasteco,12
1950s,vintage chanson,12
1950s,vintage taiwan pop,12
1950s,bomba y plena,11
1950s,instrumental bluegrass,11
1950s,opm,11
1950s,progressive bluegrass,11
1950s,regional mexican,11
1950s,russian folk,11
1950s,russian orchestra,11
1950s,steel guitar,11
1950s,string folk,11
1950s,bengali folk,10
1950s,cante flamenco,10
1950s,carnaval cadiz,10
1950s,chamber orchestra,10
1950s,classic opm,10
1950s,classic venezuelan pop,10
1950s,dutch cabaret,10
1950s,french movie tunes,10
1950s,musica jibara,10
1950s,turkce drill,10
1950s,harpsichord,9
1950s,israeli folk,9
1950s,kentucky mountain folk,9
1950s,marimba mexicana,9
1950s,musica prehispanica,9
1950s,ragtime,9
1950s,samba paulista,9
1950s,traditional rockabilly,9
1950s,vintage country folk,9
1950s,vintage old-time,9
1950s,canadian classical piano,8
1950s,canadian contemporary r&b,8
1950s,candomble,8
1950s,classic country pop,8
1950s,ethnomusicology,8
1950s,galante era,8
1950s,klezmer,8
1950s,nueva ola chilena,8
1950s,sung poetry,8
1950s,umbanda,8
1950s,vintage schlager,8
1950s,austrian classical piano,7
1950s,classical guitar,7
1950s,lebanese pop,7
1950s,modern blues,7
1950s,protest folk,7
1950s,romanian rock,7
1950s,straight-ahead jazz,7
1950s,tagalog worship,7
1950s,theremin,7
1950s,vintage gospel,7
1950s,violao classico,7
1950s,belgian jazz,6
1950s,classic japanese jazz,6
1950s,cypriot pop,6
1950s,entehno,6
1950s,harmonica jazz,6
1950s,honky-tonk piano,6
1950s,japanese traditional,6
1950s,koto,6
1950s,musique pour enfants,6
1950s,radio symphony,6
1950s,red dirt,6
1950s,skiffle,6
1950s,soca,6
1950s,spanish classical piano,6
1950s,telugu devotional,6
1950s,texas country,6
1950s,arabic jazz,5
1950s,burmese traditional,5
1950s,cabaret,5
1950s,classic psychedelic rock,5
1950s,dansband,5
1950s,danspunk,5
1950s,ethiopian traditional,5
1950s,greek clarinet,5
1950s,irish fiddle,5
1950s,italian classical piano,5
1950s,kannada bhava geethe,5
1950s,lo star,5
1950s,nisiotika,5
1950s,novelty,5
1950s,orkney and shetland folk,5
1950s,pibroch,5
1950s,rif,5
1950s,singer-songwriter,5
1950s,swedish rock-and-roll,5
1950s,arab pop,4
1950s,barbershop,4
1950s,canadian classical,4
1950s,canadian singer-songwriter,4
1950s,cancion melodica,4
1950s,canterbury scene,4
1950s,classic finnish pop,4
1950s,classic iskelma,4
1950s,contemporary folk,4
1950s,finnish classical,4
1950s,greek folk,4
1950s,historic classical performance,4
1950s,israeli classical piano,4
1950s,jazz orchestra,4
1950s,jig and reel,4
1950s,komedi,4
1950s,melancholia,4
1950s,musica tradicional dominicana,4
1950s,permanent wave,4
1950s,renaissance,4
1950s,rock steady,4
1950s,sefardi,4
1950s,serialism,4
1950s,trio cubano,4
1950s,vintage italian soundtrack,4
1950s,austro-german modernism,3
1950s,bakersfield sound,3
1950s,british classical piano,3
1950s,classic schlager,3
1950s,deep delta blues,3
1950s,dub,3
1950s,freestyle,3
1950s,gospel singers,3
1950s,joropo,3
1950s,lovers rock,3
1950s,madrigal,3
1950s,meditation,3
1950s,muziek voor kinderen,3
1950s,oud,3
